agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
poe:claude-opus-4.7,win_streak,none,3.0,5.0,total_return,30,0.0004685894181036441,-0.0031310171204802766,0.00418019616181314,0.8070964517741129,1.0,0.04528042056911304
poe:gemini-3.1-pro,win_streak,max-position,1.0,1.0,total_return,10,-0.0040452016993333785,-0.006446309397815167,-0.0013927528386502713,0.0234375,0.3131767449608529,-0.9167048513099736
poe:gemini-3.1-pro,win_streak,max-position,3.0,5.0,total_return,30,-0.0019576691395390413,-0.007075110127982958,0.002997860701621442,0.456271864067966,0.9523809523809523,-0.1394431216803151
poe:gemini-3.1-pro,win_streak,none,1.0,1.0,total_return,10,-0.01355433666311003,-0.02527281768608003,-0.0023970867550422133,0.060546875,0.60546875,-0.7011405470879452
poe:gemini-3.1-pro,win_streak,none,3.0,5.0,total_return,30,-0.0029658306346614085,-0.009043773061354203,0.0037720579293295513,0.384807596201899,0.9523809523809523,-0.15788197628973633
poe:gpt-5.5,win_streak,max-position,1.0,1.0,total_return,10,0.00019001131690874474,-0.0008907804307175943,0.0010614407603705745,0.72265625,0.9938524590163934,0.11343148309870961
poe:gpt-5.5,win_streak,max-position,3.0,5.0,total_return,10,-0.000133028281989242,-0.0019837574771330523,0.001164497925811786,0.96875,1.0,-0.04759191222743247
poe:gpt-5.5,win_streak,none,1.0,1.0,total_return,10,-0.0014067312529534638,-0.005378069717492368,0.002295259269682143,0.513671875,0.9556686046511628,-0.2133810068959289
poe:gpt-5.5,win_streak,none,3.0,5.0,total_return,10,0.000615529739233256,-0.0022020096715722804,0.0035547694619345593,0.69140625,0.9938524590163934,0.12324227764772228
deepseek:deepseek-v4-pro,win_streak,max-position,1.0,1.0,max_drawdown,10,0.0002903401992318978,-5.238476467438074e-05,0.0006929910898286801,0.1953125,0.8333333333333334,0.4532165547079392
deepseek:deepseek-v4-pro,win_streak,max-position,3.0,5.0,max_drawdown,30,5.438870845226754e-05,-0.000150838380466124,0.00025750959106261146,0.632183908045977,0.9938524590163934,0.08911971364968051
deepseek:deepseek-v4-pro,win_streak,none,1.0,1.0,max_drawdown,10,-0.0004830216295878282,-0.0010173971899786007,-2.5942462636093345e-05,0.1015625,0.7386363636363636,-0.5711706974674029
deepseek:deepseek-v4-pro,win_streak,none,3.0,5.0,max_drawdown,30,-0.00021970198046286453,-0.0004983765620801458,2.4071703431698975e-05,0.12843578210894552,0.8333333333333334,-0.2891722429222423
glm:glm-5,win_streak,max-position,1.0,1.0,max_drawdown,10,-7.837415633586239e-05,-0.00018094561520037115,0.0,0.25,0.8333333333333334,-0.49530509882517937
glm:glm-5,win_streak,max-position,3.0,5.0,max_drawdown,30,-0.00013340050797407103,-0.00031449022336310146,1.3294435748381295e-05,0.14942528735632185,0.8333333333333334,-0.27887296736894623
glm:glm-5,win_streak,none,1.0,1.0,max_drawdown,10,-8.39852169811232e-05,-0.0005955411877465326,0.0004218763700985839,0.5625,0.9916780740064751,-0.1020129031302391
glm:glm-5,win_streak,none,3.0,5.0,max_drawdown,30,0.00010332356744576643,-0.00018531877192847778,0.0004798979935540779,0.5972013993003499,0.9938524590163934,0.11376140539729772
poe:claude-opus-4.7,win_streak,max-position,1.0,1.0,max_drawdown,10,9.890010354500767e-05,0.0,0.000262839882749281,0.25,0.8333333333333334,0.3867719926313592
poe:claude-opus-4.7,win_streak,max-position,3.0,5.0,max_drawdown,30,5.628487675416831e-05,-8.172139412918117e-05,0.0001899536527537321,0.45177411294352826,0.9523809523809523,0.14934884745489999
poe:claude-opus-4.7,win_streak,none,1.0,1.0,max_drawdown,10,-4.102000030178346e-05,-0.00013943382098675246,3.9829460025335005e-05,0.4375,0.9523809523809523,-0.26164637335266056
poe:claude-opus-4.7,win_streak,none,3.0,5.0,max_drawdown,30,-7.224984704187088e-05,-0.00027772965697118936,0.00010141689712633964,0.5642178910544727,0.9916780740064751,-0.13442239667497033
poe:gemini-3.1-pro,win_streak,max-position,1.0,1.0,max_drawdown,10,-0.0007286911483083284,-0.0015286598405611935,2.769611111747745e-05,0.13671875,0.8333333333333334,-0.54164169938278
poe:gemini-3.1-pro,win_streak,max-position,3.0,5.0,max_drawdown,30,-0.00012467762357439108,-0.0007254321276046552,0.00034885321183618763,0.7041479260369815,0.9938524590163934,-0.08241393523229665
poe:gemini-3.1-pro,win_streak,none,1.0,1.0,max_drawdown,10,0.0007750815131227405,-0.00023269469821831601,0.0018888033681775235,0.21875,0.8333333333333334,0.4203652411290043
poe:gemini-3.1-pro,win_streak,none,3.0,5.0,max_drawdown,30,0.0003632954226178166,-0.0005247707683249041,0.0011560037988552554,0.4357821089455272,0.9523809523809523,0.1501366621613579
poe:gpt-5.5,win_streak,max-position,1.0,1.0,max_drawdown,10,-3.199964622445282e-05,-8.704287752577441e-05,0.0,0.5,0.9523809523809523,-0.36947426599134564
poe:gpt-5.5,win_streak,max-position,3.0,5.0,max_drawdown,10,1.272239494154448e-05,-1.3434322054273195e-05,5.1601506878906635e-05,1.0,1.0,0.22045948815271485
poe:gpt-5.5,win_streak,none,1.0,1.0,max_drawdown,10,1.686130678095754e-05,-3.390629680655177e-05,8.449021714942439e-05,1.0,1.0,0.16932151469554121
poe:gpt-5.5,win_streak,none,3.0,5.0,max_drawdown,10,6.826900675036915e-05,-8.447725580951185e-05,0.000300515842223788,1.0,1.0,0.19733749566222153
