universe,scenario_key,scenario_id,scenario_label,provider,model,baseline_label,baseline_family,strategy,data_source,frequency,symbols,data_hash,total_return,max_drawdown,sharpe,execution_fill_rate,rejected_order_count,risk_clipped_decisions,risk_violation_count,trajectory_reproducibility_coverage,alpha_pre_risk_total_return,alpha_pre_risk_sharpe,alpha_pre_risk_hit_rate,alpha_pre_risk_steps,alpha_quality_score,risk_discipline_score,execution_robustness_score
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.010511598381395926,-0.02780658989556639,1.6210967453652605,0.8125,1,0,5,1.0,0.04636265510000048,9.646587935120529,0.5714285714285714,7,0.7936016882607154,0.6875,0.8159193630347393
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.01188649634219785,-0.027432152622111405,1.796886869448413,0.8125,1,0,5,1.0,0.0477612052304246,10.138030135888616,0.5714285714285714,7,0.7967484260541697,0.6875,0.8177864975164685
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,markowitz_mvo,Markowitz MVO,mean_variance_weighted,markowitz-mvo,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.019172671846668488,-0.020497460901943376,3.373761107578566,0.6875,3,0,5,1.0,0.03801993095443601,8.661451131431418,0.7142857142857143,7,0.803401987504624,0.5625,0.7137826628489004
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,always_hold,Always hold,lower_anchor,always-hold,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0,0.3416666666666667,1.0,1.0
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,random,Random,lower_anchor,random,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,0.009373420711710878,-0.016527338195478802,2.1075933059408514,0.8125,1,0,2,1.0,0.031389188449849836,4.155352127182526,0.6666666666666666,6,0.7789590073454955,0.625,0.7239769382273649
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,buy_and_hold,Buy and hold,passive,buy-and-hold,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,0.07208053080400623,-0.015323974411352026,10.076922062467291,0.8125,1,16,0,1.0,0.10014335356933723,6.984948923402787,0.7142857142857143,7,0.942857142857143,0.5,0.7555396001046017
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,equal_weight,Equal weight,passive_rebalance,equal-weight,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,0.038301159801982676,-0.01609267080199661,6.501432492739725,0.8125,1,0,0,1.0,0.06989935102815625,6.984948923402788,0.7142857142857143,7,0.8751306826704944,1.0,0.7589824727899738
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,0.05099499295479171,-0.0011713690842416469,11.95879334421291,0.75,0,0,8,1.0,0.05360095457555958,18.81850748946923,1.0,5,0.8956021477950091,0.0,0.7721852567898558
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,-0.02896422830039591,-0.052124532250713895,-2.833409770167982,0.8,1,0,10,1.0,0.002645819790455306,0.6063938856791978,0.6,5,0.5029927378598109,0.0,0.7621926811028162
synthetic,liquidity_collapse,leaderboard_llm_liquidity_collapse_synthetic_v0_1,Liquidity collapse,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-liquidity_collapse-seed-41-symbols-SYN-ALT-periods-8,0.0577535983496511,-0.0028832641733815834,9.66130082476389,0.875,0,0,0,1.0,0.0593137239917938,6.628405954807702,0.7142857142857143,7,0.851313021838679,1.0,0.7810393596592567
