agent,kind,outcome,max_dose,configured_dose,mean_delta,ci_low,ci_high,permutation_p_value,cohens_d
poe:gemini-3.1-pro,fake_violations,turnover_events,0.75,0.75,-1.1611111111111108,-1.661111111111111,-0.6444444444444439,0.0004997501249375312,-0.5644443315618077
poe:glm-5,fake_rejections,turnover_events,0.75,0.75,-1.0000000000000004,-2.166666666666667,-0.10000000000000035,0.09375,-0.564710224624343
poe:glm-5,fake_violations,turnover_events,0.75,0.75,-0.2333333333333334,-0.7333333333333332,0.19999999999999965,0.5,-0.2966883079863587
poe:gpt-5.5,fake_rejections,turnover_events,0.75,0.75,-0.5833333333333331,-1.3999999999999997,-0.033333333333333034,0.12143928035982009,-0.36211429212802443
poe:gpt-5.5,fake_violations,turnover_events,0.75,0.75,-0.1666666666666666,-1.0666666666666664,0.5166666666666664,0.775112443778111,-0.08802713507193258
deepseek:deepseek-v4-pro,fake_rejections,total_return,0.75,0.75,-0.022891779007645673,-0.03705570123394205,-0.0088450683355558,0.0029985007496251873,-0.40801243197804143
deepseek:deepseek-v4-pro,fake_violations,total_return,0.75,0.75,-0.041985759699221824,-0.06044956478459899,-0.02396176835518308,0.0004997501249375312,-0.5948422855132174
glm:glm-5,fake_rejections,total_return,0.75,0.75,0.0013700489800477615,-0.0010572546897507245,0.003771583281020323,0.2673663168415792,0.13901265016361386
glm:glm-5,fake_violations,total_return,0.75,0.75,-0.0026533297481131507,-0.006117594298057838,0.0007794546384206792,0.1584207896051974,-0.18835602036985882
poe:claude-opus-4.7,fake_rejections,total_return,0.75,0.75,-0.0007439060895951919,-0.0032819700131394916,0.0015462895188349504,0.5602198900549725,-0.07816666644693981
poe:claude-opus-4.7,fake_violations,total_return,0.75,0.75,-0.0033920451655478994,-0.006579405845474325,-0.000546334971667474,0.034482758620689655,-0.2741479526041326
poe:gemini-3.1-pro,fake_rejections,total_return,0.75,0.75,-0.01303303283022361,-0.018133266207497785,-0.008126636288990434,0.0004997501249375312,-0.6273802673636149
poe:gemini-3.1-pro,fake_violations,total_return,0.75,0.75,-0.021833059902203893,-0.028559306139564533,-0.015150980170748556,0.0004997501249375312,-0.7989659386168848
poe:glm-5,fake_rejections,total_return,0.75,0.75,0.0054677197424196095,6.388525622694971e-05,0.011296316022763467,0.11328125,0.5721051262405585
poe:glm-5,fake_violations,total_return,0.75,0.75,0.0021779610641633534,-0.0018337407780107617,0.007433119034176941,0.53125,0.27060087921250336
poe:gpt-5.5,fake_rejections,total_return,0.75,0.75,-0.0015242757538146765,-0.005187244171216468,0.0017428226592766654,0.42978510744627685,-0.187920758335712
poe:gpt-5.5,fake_violations,total_return,0.75,0.75,-0.0016165720614348372,-0.0044405656985416,0.0012140175687919551,0.30834582708645675,-0.2367493881034452
deepseek:deepseek-v4-pro,fake_rejections,max_drawdown,0.75,0.75,-5.799665634819024e-05,-0.00030200809406577046,0.0001728133487908006,0.6596701649175413,-0.06062726706596799
deepseek:deepseek-v4-pro,fake_violations,max_drawdown,0.75,0.75,2.581077493879357e-05,-0.00024351243918916966,0.0003331832910810067,0.8570714642678661,0.02297987074826173
glm:glm-5,fake_rejections,max_drawdown,0.75,0.75,1.3126628024075062e-05,-0.00020329880460109742,0.00023117325988597504,0.9090454772613693,0.014736875614448256
glm:glm-5,fake_violations,max_drawdown,0.75,0.75,-6.98344754560104e-05,-0.00030343138366047525,0.00015146048857888865,0.5622188905547226,-0.07777261482576653
poe:claude-opus-4.7,fake_rejections,max_drawdown,0.75,0.75,0.0001099572872594286,-4.609927014978165e-05,0.0002960848796929384,0.23638180909545228,0.16014458080953703
poe:claude-opus-4.7,fake_violations,max_drawdown,0.75,0.75,0.00017327883976073511,-4.2683943911624994e-05,0.0004445278610555411,0.19740129935032483,0.17833644147761168
poe:gemini-3.1-pro,fake_rejections,max_drawdown,0.75,0.75,0.00044517374388398153,0.00012776424474250715,0.0007772318497310637,0.012993503248375811,0.33807465681717874
poe:gemini-3.1-pro,fake_violations,max_drawdown,0.75,0.75,0.0002791210923750571,-0.00015886064916353844,0.0007213443625157091,0.21689155422288856,0.15526164201253131
poe:glm-5,fake_rejections,max_drawdown,0.75,0.75,-4.714279906171315e-05,-0.00021731970865831088,0.00010285213753868183,0.625,-0.1777547735650118
poe:glm-5,fake_violations,max_drawdown,0.75,0.75,-3.7059643799556076e-06,-0.00014000948318234618,0.00016708849965957716,1.0,-0.013690340542150002
poe:gpt-5.5,fake_rejections,max_drawdown,0.75,0.75,5.901326945977521e-05,-1.906811300127116e-05,0.00018288312112898678,0.34382808595702147,0.24382460250485347
poe:gpt-5.5,fake_violations,max_drawdown,0.75,0.75,0.00012193564845287923,-1.8612064846216667e-05,0.0003634950184769171,0.2863568215892054,0.25093682233070286
