agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
poe:glm-5,fake_rejections,none,0.25,0.25,turnover_events,5,-0.6666666666666664,-1.4666666666666663,0.06666666666666679,0.375,0.7912087912087912,-0.6859943405700352
poe:glm-5,fake_rejections,none,0.75,0.75,turnover_events,5,-2.0,-3.733333333333333,-0.5333333333333329,0.0625,0.375,-0.9669875568304562
poe:glm-5,fake_violations,max-position,0.25,0.25,turnover_events,5,-0.13333333333333286,-0.7333333333333328,0.4666666666666671,0.875,1.0,-0.15936381457791876
poe:glm-5,fake_violations,max-position,0.75,0.75,turnover_events,5,0.26666666666666644,0.0,0.6666666666666664,0.5,0.8421052631578947,0.6135719910778958
poe:glm-5,fake_violations,none,0.25,0.25,turnover_events,5,-0.06666666666666714,-1.2000000000000006,1.2666666666666664,1.0,1.0,-0.04108240150088833
poe:glm-5,fake_violations,none,0.75,0.75,turnover_events,5,-0.7333333333333332,-1.4,-0.26666666666666605,0.125,0.5,-0.9647638212377317
poe:gpt-5.5,fake_rejections,max-position,0.25,0.25,turnover_events,10,-0.06666666666666643,-0.1999999999999993,0.0,1.0,1.0,-0.31622776601683794
poe:gpt-5.5,fake_rejections,max-position,0.75,0.75,turnover_events,10,0.06666666666666643,0.0,0.16666666666666502,0.5,0.8421052631578947,0.474341649025257
poe:gpt-5.5,fake_rejections,none,0.25,0.25,turnover_events,10,-0.8999999999999997,-1.9,-0.03333333333333268,0.1328125,0.51,-0.564216812363573
poe:gpt-5.5,fake_rejections,none,0.75,0.75,turnover_events,10,-1.2333333333333327,-2.599999999999999,-0.1999999999999993,0.09375,0.45,-0.5801270476568974
poe:gpt-5.5,fake_violations,max-position,0.25,0.25,turnover_events,10,-0.033333333333333215,-0.1999999999999993,0.09999999999999964,1.0,1.0,-0.1355261854357877
poe:gpt-5.5,fake_violations,max-position,0.75,0.75,turnover_events,10,0.06666666666666643,-0.13333333333333322,0.2666666666666657,0.75,0.9795918367346939,0.19364916731037063
poe:gpt-5.5,fake_violations,none,0.25,0.25,turnover_events,10,-0.433333333333333,-1.5666666666666667,0.7000000000000007,0.53125,0.8579710144927536,-0.22976981675456523
poe:gpt-5.5,fake_violations,none,0.75,0.75,turnover_events,10,-0.39999999999999963,-2.033333333333333,1.0666666666666675,0.72265625,0.9795918367346939,-0.1477595482432015
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.25,0.25,total_return,10,0.012708996670512793,-0.012514573512574272,0.03648960240584198,0.34765625,0.7761627906976745,0.3013920331852092
deepseek:deepseek-v4-pro,fake_rejections,max-position,0.75,0.75,total_return,30,-0.002465266384570409,-0.01814504796003159,0.01565860724446243,0.7931034482758621,1.0,-0.05256428106923127
deepseek:deepseek-v4-pro,fake_rejections,none,0.25,0.25,total_return,10,-0.006504400220815196,-0.03049429816443349,0.012232580556532233,0.724609375,0.9795918367346939,-0.1712827527359245
deepseek:deepseek-v4-pro,fake_rejections,none,0.75,0.75,total_return,30,-0.04331829163072094,-0.06295174324428,-0.02262065493518768,0.0014992503748125937,0.0239880059970015,-0.7493944418223213
deepseek:deepseek-v4-pro,fake_violations,max-position,0.25,0.25,total_return,10,0.014333669497252552,-0.0021956293769623964,0.03279021972608248,0.193359375,0.6400862068965517,0.47980016957680227
deepseek:deepseek-v4-pro,fake_violations,max-position,0.75,0.75,total_return,30,-0.0010603593297736679,-0.014741770910220185,0.014304577183727078,0.8835582208895553,1.0,-0.025813070850309053
deepseek:deepseek-v4-pro,fake_violations,none,0.25,0.25,total_return,10,-0.014631981243613193,-0.03618091054776808,0.002983759937447275,0.244140625,0.6575342465753424,-0.44511283715403205
deepseek:deepseek-v4-pro,fake_violations,none,0.75,0.75,total_return,30,-0.08291116006866998,-0.10742479715635582,-0.059042771903289167,0.0004997501249375312,0.010661335998667332,-1.1745399413486046
glm:glm-5,fake_rejections,max-position,0.25,0.25,total_return,10,0.0009103950318509301,-0.0014343340358798223,0.003077510777078127,0.484375,0.8421052631578947,0.23715489016802088
glm:glm-5,fake_rejections,max-position,0.75,0.75,total_return,30,0.001855484798196217,-0.0012207390519016162,0.004884454791321653,0.2383808095952024,0.6575342465753424,0.21845992989519195
glm:glm-5,fake_rejections,none,0.25,0.25,total_return,10,0.0037926157633516033,-0.0006424760324566736,0.008160027981980773,0.140625,0.5294117647058824,0.5156196235689658
glm:glm-5,fake_rejections,none,0.75,0.75,total_return,30,0.0008846131618993063,-0.0030447025694240724,0.004999781899325311,0.6581709145427287,0.9720678122477223,0.07912625812276546
glm:glm-5,fake_violations,max-position,0.25,0.25,total_return,10,-0.002861752533674456,-0.007439144803683649,0.0008560731688063907,0.34375,0.7761627906976745,-0.3935772019641901
glm:glm-5,fake_violations,max-position,0.75,0.75,total_return,30,-0.00021029026018661416,-0.003522804729903293,0.0031756695976964556,0.9025487256371814,1.0,-0.022286730081395815
glm:glm-5,fake_violations,none,0.25,0.25,total_return,10,-0.003867679071958342,-0.00805701840789318,1.764915553983948e-05,0.11328125,0.5,-0.5581549568751679
glm:glm-5,fake_violations,none,0.75,0.75,total_return,30,-0.005096369236039687,-0.010971013615816646,0.000780271024641865,0.12143928035982009,0.5,-0.2930996099963682
poe:claude-opus-4.7,fake_rejections,max-position,0.25,0.25,total_return,10,0.0010770718225674408,-0.0011738532852438948,0.0034500483864342594,0.40625,0.8231673636865778,0.2742882209901294
poe:claude-opus-4.7,fake_rejections,max-position,0.75,0.75,total_return,30,-8.928986169768755e-05,-0.003086761303342179,0.0023624279972711834,0.9700149925037481,1.0,-0.011650591705662938
poe:claude-opus-4.7,fake_rejections,none,0.25,0.25,total_return,10,-0.0023401373075386672,-0.0053076307085199335,0.00033828572296229346,0.2109375,0.6575342465753424,-0.4734508163399266
