window,level,agent,seed,total_return,sharpe,execution_fill_rate,turnover_events
rates_drawdown_2022,E2_spread_20bps,risk-parity,3,0.3950296733798011,6.848400238021082,0.8886827458256029,958
rates_drawdown_2022,E2_spread_20bps,minimum-variance,1,0.37745947757740494,7.66894177422451,0.8412698412698413,901
rates_drawdown_2022,E2_spread_20bps,minimum-variance,2,0.4310665646223928,8.90740081538203,0.8713886300093197,935
rates_drawdown_2022,E2_spread_20bps,minimum-variance,3,0.5536043567448994,10.231101516480456,0.8734655335221907,925
rates_drawdown_2022,E2_spread_20bps,random,1,0.1753144418879682,3.5527332621369987,0.7776679841897233,787
rates_drawdown_2022,E2_spread_20bps,random,2,0.24669668641305464,5.327677064026973,0.7976878612716763,828
rates_drawdown_2022,E2_spread_20bps,random,3,0.18119767635650752,3.3513988192218536,0.8070678127984718,845
rates_drawdown_2022,E2_latency_3,buy-and-hold,1,0.4573346603154258,6.967336410647267,0.6222014925373134,667
rates_drawdown_2022,E2_latency_3,buy-and-hold,2,0.4287688975163586,5.882601101702525,0.6189591078066915,666
rates_drawdown_2022,E2_latency_3,buy-and-hold,3,0.4507717967174063,6.97720813370607,0.6232427366447985,665
rates_drawdown_2022,E2_latency_3,signal-weighted,1,0.9476106574955339,13.434997279397702,0.5765765765765766,384
rates_drawdown_2022,E2_latency_3,signal-weighted,2,1.1443738822153673,13.482161484962495,0.5757997218358831,414
rates_drawdown_2022,E2_latency_3,signal-weighted,3,0.8787777578885696,10.827089339656373,0.576551724137931,418
rates_drawdown_2022,E2_latency_3,naive-momentum,1,1.6726876172366416,17.319271299302528,0.5527027027027027,409
rates_drawdown_2022,E2_latency_3,naive-momentum,2,1.6886259567191555,15.063031686718084,0.5401554404145078,417
rates_drawdown_2022,E2_latency_3,naive-momentum,3,1.5586972397412815,15.69608966935926,0.5822784810126582,460
rates_drawdown_2022,E2_latency_3,mean-reversion,1,-0.3456239868935336,-8.340670773065991,0.5753715498938429,271
rates_drawdown_2022,E2_latency_3,mean-reversion,2,-0.265773333521064,-5.525739458113585,0.5705263157894737,271
rates_drawdown_2022,E2_latency_3,mean-reversion,3,-0.2265296185416823,-3.864375817891133,0.5604166666666667,269
rates_drawdown_2022,E2_latency_3,risk-parity,1,0.3363197188777247,5.386721411039592,0.6103896103896104,658
rates_drawdown_2022,E2_latency_3,risk-parity,2,0.40151056857844614,6.9222907935122215,0.601113172541744,648
rates_drawdown_2022,E2_latency_3,risk-parity,3,0.4327542779378051,6.323429815048169,0.5918367346938775,638
rates_drawdown_2022,E2_latency_3,minimum-variance,1,0.4048927550520751,7.264952993598491,0.6120930232558139,658
rates_drawdown_2022,E2_latency_3,minimum-variance,2,0.47420595662753007,9.17762712224787,0.6029822926374651,647
rates_drawdown_2022,E2_latency_3,minimum-variance,3,0.5066373225211642,7.969989320583697,0.5696913002806361,609
rates_drawdown_2022,E2_latency_3,random,1,0.3147387311360059,5.404243891779435,0.5814889336016097,578
rates_drawdown_2022,E2_latency_3,random,2,0.3972855825008703,7.346454910012312,0.6110562685093781,619
rates_drawdown_2022,E2_latency_3,random,3,0.44669443468112635,7.170347097262968,0.5803657362848893,603
rates_drawdown_2022,E2_participation_1pct,buy-and-hold,1,0.49826794132722574,8.575929394065286,0.8605313092979127,907
rates_drawdown_2022,E2_participation_1pct,buy-and-hold,2,0.5896914936810473,9.929961634640925,0.8603988603988604,906
rates_drawdown_2022,E2_participation_1pct,buy-and-hold,3,0.5995933421851336,9.621437909944962,0.8701050620821394,911
rates_drawdown_2022,E2_participation_1pct,signal-weighted,1,1.144290222033947,17.052116469959937,0.8033794162826421,523
rates_drawdown_2022,E2_participation_1pct,signal-weighted,2,1.312567029144431,17.828416936824404,0.8338150289017341,577
rates_drawdown_2022,E2_participation_1pct,signal-weighted,3,1.0539215267451127,15.21299443578485,0.8257261410788381,597
rates_drawdown_2022,E2_participation_1pct,naive-momentum,1,1.659825082195225,20.282270699630235,0.8323943661971831,591
rates_drawdown_2022,E2_participation_1pct,naive-momentum,2,1.8585863621582264,22.005954156296987,0.8295302013422818,618
rates_drawdown_2022,E2_participation_1pct,naive-momentum,3,1.7714369293131238,20.42892487943596,0.8437086092715231,637
