scenario_key,scenario_label,stress_family,provider,model,run_count,avg_return,std_return,return_ci_low,return_ci_high,worst_drawdown,avg_sharpe,std_sharpe,avg_fill_rate,avg_alpha_quality,avg_risk_discipline,avg_execution_robustness,evidence_tags,claim_scope
latency_spike,Latency spike,execution,poe,claude-opus-4.7,1,0.0010006922786887085,0.0,0.0010006922786887085,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.0,0.2727272727272727,0.719496494549613,0.71875,0.47756919422352473,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
latency_spike,Latency spike,execution,poe,glm-5,1,0.0010006922786887085,0.0,0.0010006922786887085,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.0,0.3,0.7829696247233315,0.34375,0.4957510124053429,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
latency_spike,Latency spike,execution,poe,gpt-5.5,1,0.0010006922786887085,0.0,0.0010006922786887085,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.0,0.2727272727272727,0.6981551226892679,0.71875,0.47756919422352473,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
latency_spike,Latency spike,execution,poe,kimi-k2.5,1,0.0010006922786887085,0.0,0.0010006922786887085,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.0,0.2727272727272727,0.7019757246047187,0.71875,0.47756919422352473,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
latency_spike,Latency spike,execution,baseline,always-hold,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416666666666667,1.0,1.0,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
liquidity_collapse,Liquidity collapse,execution,deepseek,deepseek-v4-flash,1,0.04416006916041204,0.0,0.04416006916041204,0.04416006916041204,-0.0011713690842416469,12.568451829594096,0.0,0.8,1.0,0.71875,0.7494414611523081,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
liquidity_collapse,Liquidity collapse,execution,poe,claude-opus-4.7,1,0.04416006916041204,0.0,0.04416006916041204,0.04416006916041204,-0.0011713690842416469,12.568451829594096,0.0,0.8,1.0,0.75,0.7446600632122213,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
liquidity_collapse,Liquidity collapse,execution,poe,gpt-5.5,1,0.04416006916041204,0.0,0.04416006916041204,0.04416006916041204,-0.0011713690842416469,12.568451829594096,0.0,0.8,1.0,0.71875,0.7494414611523081,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
liquidity_collapse,Liquidity collapse,execution,poe,kimi-k2.5,1,0.04416006916041204,0.0,0.04416006916041204,0.04416006916041204,-0.0011713690842416469,12.568451829594096,0.0,0.8,1.0,0.71875,0.7494414611523081,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
liquidity_collapse,Liquidity collapse,execution,baseline,random,5,0.025136169839234123,0.022551107749626136,0.009210170736422097,0.04227896178945327,-0.016527338195478802,4.94597572529157,4.297001510216435,0.8164285714285715,0.8286900113889157,0.5875,0.7363811651063044,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
liquidity_collapse,Liquidity collapse,execution,deepseek,deepseek-v4-pro,1,0.023637194586975108,0.0,0.023637194586975108,0.023637194586975108,-0.016678732212523473,4.317468239634305,0.0,0.625,0.9560304614441637,0.0,0.737088146218494,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
liquidity_collapse,Liquidity collapse,execution,poe,gemini-3.1-pro,1,0.020867624635534376,0.0,0.020867624635534376,0.020867624635534376,-0.01022505326272638,4.588914838027487,0.0,0.7692307692307693,1.0,0.6875,0.7095161736812557,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
liquidity_collapse,Liquidity collapse,execution,poe,glm-5,1,0.014962797065820821,0.0,0.014962797065820821,0.014962797065820821,-0.0372052787526056,1.9039975564331149,0.0,0.8461538461538461,0.9666666666666668,0.65625,0.7905855195104925,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
liquidity_collapse,Liquidity collapse,execution,baseline,always-hold,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416666666666667,1.0,1.0,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
spread_explosion,Spread explosion,execution,deepseek,deepseek-v4-pro,1,0.004837979222670485,0.0,0.004837979222670485,0.004837979222670485,-0.020633570209063867,0.9380650697872337,0.0,0.8333333333333334,0.6123937941803719,0.0,0.6723952719984465,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
spread_explosion,Spread explosion,execution,baseline,always-hold,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416666666666667,1.0,1.0,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
spread_explosion,Spread explosion,execution,poe,kimi-k2.5,1,-0.0006997714470967642,0.0,-0.0006997714470967642,-0.0006997714470967642,-0.023337813269680985,-0.05506788742478138,0.0,0.75,0.42792868062642464,0.75,0.5547265622740685,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
spread_explosion,Spread explosion,execution,baseline,random,5,-0.0020211159379618813,0.017126491889391617,-0.016061253399660847,0.010949171558169279,-0.04576832298067035,-0.16859828093400134,2.898311929858391,0.8214285714285714,0.6674663162676169,0.4375,0.6114745474768826,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
spread_explosion,Spread explosion,execution,poe,gemini-3.1-pro,1,-0.00648672314110732,0.0,-0.00648672314110732,-0.00648672314110732,-0.033427247951419825,-1.0025195701535081,0.0,0.7857142857142857,0.8379942463255675,0.53125,0.5730425371975735,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
spread_explosion,Spread explosion,execution,poe,glm-5,1,-0.011567619901294623,0.0,-0.011567619901294623,-0.011567619901294623,-0.026946008515300268,-3.137235705777786,0.0,0.75,0.6531765387159915,0.375,0.6421382745522801,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
spread_explosion,Spread explosion,execution,deepseek,deepseek-v4-flash,1,-0.015538595632362151,0.0,-0.015538595632362151,-0.015538595632362151,-0.042385397460331986,-2.0151732350290548,0.0,0.7692307692307693,0.7824348449302923,0.65625,0.5604099756071385,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
spread_explosion,Spread explosion,execution,poe,claude-opus-4.7,1,-0.015538595632362151,0.0,-0.015538595632362151,-0.015538595632362151,-0.042385397460331986,-2.0151732350290548,0.0,0.7692307692307693,0.7001222340643154,0.65625,0.5604099756071385,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
spread_explosion,Spread explosion,execution,poe,gpt-5.5,1,-0.015538595632362151,0.0,-0.015538595632362151,-0.015538595632362151,-0.042385397460331986,-2.0151732350290548,0.0,0.7692307692307693,0.7838926512791167,0.65625,0.5604099756071385,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
