scenario,level,agent,run_count,sharpe_mean,sharpe_std,sharpe_ci_low,sharpe_ci_high,return_mean,rank
calm,E2_harsh_corner,random,10,12.134977658660816,2.4347733061721315,10.604710374840492,13.43734831241161,0.0475477143823523,6
calm,E2_harsh_corner,risk-parity,10,16.007076189886075,3.0410282628680254,14.029915049146117,17.467717465271825,0.05794163572309434,4
calm,E2_harsh_corner,signal-weighted,10,9.55284627936114,2.848638666291241,7.880587936675572,11.156944958140112,0.037252230688032476,7
calm,E2_latency_3,buy-and-hold,10,18.636336085194024,1.0836788181625947,18.005683639649284,19.28037084109912,0.06496639666261195,1
calm,E2_latency_3,mean-reversion,10,2.4376904222441413,5.538606269993468,-0.7671387080646213,5.677956669957949,0.006060389600980787,8
calm,E2_latency_3,minimum-variance,10,18.212624912120894,1.2246635601814901,17.510043849624974,18.93665393747821,0.0630731700163963,2
calm,E2_latency_3,naive-momentum,10,15.250916914685657,1.5575999426220968,14.29512631888968,16.078982541645956,0.07234463218045531,5
calm,E2_latency_3,no-trade-band,10,18.025996697816105,1.8086858535068449,16.87063456347707,18.90269416117342,0.0624627966666363,3
calm,E2_latency_3,random,10,13.310921887153706,2.5109031864653546,11.731132797311712,14.65371132924777,0.05091256795227637,6
calm,E2_latency_3,risk-parity,10,17.074168121090548,3.075163298277326,15.049504253078933,18.532773519107433,0.06025252056745598,4
calm,E2_latency_3,signal-weighted,10,10.448671997622665,2.690951763811755,8.872926019871207,11.996408460682968,0.04047323707210093,7
calm,E2_participation_1pct,buy-and-hold,10,28.363410393399896,2.2793391457616647,26.994751246910294,29.615865363035834,0.0846656329189597,1
calm,E2_participation_1pct,mean-reversion,10,-3.9935848452592175,3.964464014149443,-6.101672077888548,-1.4954843208217945,-0.010881047028509738,8
calm,E2_participation_1pct,minimum-variance,10,25.13976267874548,4.240943702130504,22.531359523636855,27.531967348587678,0.07723337822557744,2
calm,E2_participation_1pct,naive-momentum,10,22.7351125125895,2.0086224657836915,21.504023480184838,23.84504912226499,0.09884767304861788,3
calm,E2_participation_1pct,no-trade-band,10,22.420786148412823,3.8299261679282255,20.187537371765366,24.689933772262794,0.06975335480666985,4
calm,E2_participation_1pct,random,10,17.742612345162744,3.1956612452239344,15.864842673384445,19.738480580461243,0.05584243113481169,6
calm,E2_participation_1pct,risk-parity,10,22.32159571361376,4.79314564148546,19.412678359393784,24.917167394033562,0.06723701115554319,5
calm,E2_participation_1pct,signal-weighted,10,10.562659039514084,4.083005837978995,8.28952108644977,13.026912617470424,0.04240793730979322,7
calm,E2_spread_20bps,buy-and-hold,10,26.473776396627954,2.1342634489825176,25.195016973206528,27.670693261481073,0.08335291617880332,1
calm,E2_spread_20bps,mean-reversion,10,-5.202319108390368,3.984270257073341,-7.289628920386443,-2.72413427252806,-0.014394767178758695,8
calm,E2_spread_20bps,minimum-variance,10,22.9849337546687,4.052396573128114,20.53241775337427,25.24492405975591,0.07370687271603489,2
calm,E2_spread_20bps,naive-momentum,10,21.471217315598093,2.0436231642877827,20.21322189837786,22.595816923438534,0.0947970109260224,3
calm,E2_spread_20bps,no-trade-band,10,20.392569521284628,3.5548677282071006,18.318226221287684,22.50316358396082,0.06544473302383028,4
calm,E2_spread_20bps,random,10,15.203437737185089,3.0791981506318056,13.523208255894877,17.156343063880772,0.04964658822035406,6
calm,E2_spread_20bps,risk-parity,10,20.001075722939323,4.6527395177402155,17.115719688676183,22.509559479925112,0.06192281446956367,5
calm,E2_spread_20bps,signal-weighted,10,9.332330905016999,4.07736041708837,7.04663985572787,11.777792021496113,0.03776032813406753,7
high_vol,E0_ideal,buy-and-hold,10,13.287532095230883,4.0771249336031925,10.568065157608146,15.334286879941711,0.07460343470972368,1
high_vol,E0_ideal,mean-reversion,10,2.9876423755851547,6.849226733698073,-0.8951645840649812,7.279441154010607,0.01456532248920619,8
high_vol,E0_ideal,minimum-variance,10,11.907035305756963,5.069333258550949,8.88414205412146,14.644139103939944,0.06687713628058081,4
high_vol,E0_ideal,naive-momentum,10,10.126443669109596,4.472894511555866,7.464270869249104,12.666664866522535,0.07532508753773652,5
high_vol,E0_ideal,no-trade-band,10,13.219878959975002,5.655404260954053,9.878692895197242,16.28671611461401,0.07046271360994634,2
high_vol,E0_ideal,random,10,8.287823898090927,4.828849117771146,5.600782234258631,11.157723018176517,0.047613235461228,6
high_vol,E0_ideal,risk-parity,10,13.083476036744898,5.523233683357001,9.755954140195954,16.043238545941232,0.07266078040028193,3
high_vol,E0_ideal,signal-weighted,10,7.348216264288749,4.675488866252865,4.537058863144781,9.842239748863149,0.03429250529643757,7
high_vol,E1_default_stress,buy-and-hold,10,11.393970869481416,5.133475927402002,8.12431131959714,14.267330998247918,0.06369365764792646,1
high_vol,E1_default_stress,mean-reversion,10,1.7729685947955918,5.10006061654197,-1.2147255625245115,4.747720925374735,0.012700919424802327,8
high_vol,E1_default_stress,minimum-variance,10,7.837616636202287,6.351653347204093,4.097269083709415,11.540075460482004,0.044727676657292506,3
high_vol,E1_default_stress,naive-momentum,10,6.8134698303504395,3.9525764164174864,4.377289783297988,8.918485797928762,0.054100287773622205,5
high_vol,E1_default_stress,no-trade-band,10,8.252798386897837,5.308981316921374,4.941901173013452,11.293664663783117,0.04752875604500516,2
high_vol,E1_default_stress,random,10,5.903970022877412,5.547401084673518,2.5694540608334977,9.087608573263577,0.03208147790528839,6
high_vol,E1_default_stress,risk-parity,10,7.503308072181767,4.68290859781074,4.635714586821401,10.188464127231416,0.04236976507296388,4
high_vol,E1_default_stress,signal-weighted,10,5.106933851933724,3.6345393790600333,2.9451090833751823,7.31996916945243,0.03457131330227411,7
