scenario,level,agent,agent_type,seed_count,sharpe_mean,sharpe_std,sharpe_ci_low,sharpe_ci_high,return_mean,fill_rate_mean,rank
high_vol,E2_latency_3,poe:gemini-3.1-pro,llm,10,8.013275048733181,4.346026392823373,5.572315951763863,10.646272349241592,0.09009593569598151,0.49373547505126447,9
high_vol,E2_latency_3,poe:glm-5,llm,10,8.245233186445448,4.200152585593269,5.833185480416922,10.755756367381416,0.09318905952908615,0.5098306694912901,7
high_vol,E2_latency_3,poe:gpt-5.5,llm,10,8.422737699084122,4.2098688230825765,5.9922974404750695,10.931617838968439,0.09620147575430929,0.5175773379527249,5
high_vol,E2_latency_3,random,classical,10,9.715615646048475,3.172353150901293,7.853256507608714,11.532054192233652,0.09280417172195624,0.46762791365766193,3
high_vol,E2_latency_3,risk-parity,classical,10,10.199787272425336,3.425135822853476,8.346719874145496,12.230339203890884,0.10304268195781555,0.4666666666666667,2
high_vol,E2_latency_3,signal-weighted,classical,10,0.8800112231983727,5.356578305461897,-2.2954891780707434,3.9673217417458475,0.011941845002515272,0.3706877109818286,12
high_vol,E2_participation_1pct,buy-and-hold,classical,10,9.457126199058056,3.4765322961622958,7.455035020974362,11.574030973178683,0.10444202377001273,0.8317028985507247,2
high_vol,E2_participation_1pct,deepseek:deepseek-v4-pro,llm,10,9.200803800546337,2.8469803182566924,7.547665628913409,10.858433556651034,0.07610119200903456,0.8279205094422485,4
high_vol,E2_participation_1pct,mean-reversion,classical,10,3.3014633682810546,4.919245747707288,0.2431005476198278,5.904811955612184,0.027917489540152184,0.8148178210678211,12
high_vol,E2_participation_1pct,minimum-variance,classical,10,8.559488005869916,3.031438715317515,6.714978230355065,10.330470376639067,0.08102443972349953,0.8376207729468599,8
high_vol,E2_participation_1pct,naive-momentum,classical,10,8.260306302334955,3.0763338304411723,6.421884995649771,10.114656113618981,0.07539961253687841,0.842764196587726,9
high_vol,E2_participation_1pct,poe:claude-opus-4.7,llm,10,9.218349286429811,2.796610909736378,7.588104849731313,10.837342200978366,0.081770969970645,0.8642600324922979,3
high_vol,E2_participation_1pct,poe:gemini-3.1-pro,llm,10,8.648813101121755,3.1247380658824215,6.847668763321583,10.595321704292337,0.07334767885988284,0.8043140459845265,7
