kind,dose,decay,risk,run_count,memory_driven_leverage_amplification_mean,memory_driven_leverage_amplification_std,memory_driven_leverage_amplification_ci_low,memory_driven_leverage_amplification_ci_high,memory_pollution_ratio_mean,total_return_mean,max_drawdown_mean
fake_rejections,0.75,0.85,none,10,0.18621156920399093,0.008807459648558008,0.18065992570540684,0.1908927145880977,0.7862359421972908,0.13724314062783433,-0.011755751986989749
fake_rejections,0.75,1.0,max-position,10,0.18632916666666668,0.00896935046060668,0.180875,0.19120416666666668,0.7868055555555556,0.13720948524298238,-0.010633306490490957
fake_rejections,0.75,1.0,none,10,0.18632916666666668,0.00896935046060668,0.180875,0.19120416666666668,0.7868055555555556,0.13823728533892424,-0.011210997560945225
fake_violations,0.0,0.6,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.23048642413149462,-0.020164089811202345
fake_violations,0.0,0.6,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_violations,0.0,0.85,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2303079836161018,-0.02033926765328411
fake_violations,0.0,0.85,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_violations,0.0,1.0,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2302920879678033,-0.02036420985681172
fake_violations,0.0,1.0,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_violations,0.1,0.6,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.23048642413149462,-0.020164089811202345
fake_violations,0.1,0.6,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_violations,0.1,0.85,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2303079836161018,-0.02033926765328411
fake_violations,0.1,0.85,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_violations,0.1,1.0,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2302920879678033,-0.02036420985681172
fake_violations,0.1,1.0,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_violations,0.25,0.6,max-position,10,0.2777683827781633,0.011555455933012425,0.2704955687601203,0.2840658396946565,0.19403866569181455,0.1905212382244716,-0.014458160867914516
fake_violations,0.25,0.6,none,10,0.2780392161114967,0.011372195576991845,0.27070682251908396,0.28416770761045573,0.1932053323584812,0.21196628625540956,-0.016761129940672602
fake_violations,0.25,0.85,max-position,10,0.27735754843501337,0.012837008595451914,0.26961700106395947,0.2845842875052734,0.19628618200455886,0.1923623837328999,-0.01407922297645069
fake_violations,0.25,0.85,none,10,0.2776283817683467,0.01260531870644063,0.2700169221131392,0.2847606328536528,0.19545284867122553,0.21360764327567122,-0.01694780295762153
fake_violations,0.25,1.0,max-position,10,0.27713958333333333,0.013544287673700788,0.2691625,0.2849041666666667,0.19736111111111115,0.19249074476075106,-0.014068723778850777
fake_violations,0.25,1.0,none,10,0.2774104166666667,0.013292835088839187,0.2693666666666667,0.28500625,0.1965277777777778,0.2134122853935006,-0.016951080277554896
fake_violations,0.5,0.6,max-position,10,0.2475505436039787,0.011169585121864313,0.24003900647698356,0.25339970795743694,0.3948760442761421,0.17991888126120198,-0.012775495560362926
fake_violations,0.5,0.6,none,10,0.24770860802683323,0.011086060668437517,0.2403186589174185,0.2534329747860282,0.39438969220582054,0.19065766611417634,-0.013693684270850704
fake_violations,0.5,0.85,max-position,10,0.24709511806074008,0.01148175766628979,0.24006551346928312,0.2534611092865854,0.39666880444700947,0.18071593317790183,-0.013259189532218796
fake_violations,0.5,0.85,none,10,0.2472511151140667,0.011354939260081118,0.2402092004687264,0.2535007539422395,0.39618881351369684,0.18953093571846522,-0.013925112585148147
fake_violations,0.5,1.0,max-position,10,0.2468875,0.01197953582361948,0.23972083333333333,0.2536041666666667,0.39772222222222225,0.1798842219078674,-0.01319206099713428
fake_violations,0.5,1.0,none,10,0.24705,0.011833737603944579,0.2399,0.25376666666666664,0.39722222222222225,0.18789373692283334,-0.014525478879617693
fake_violations,0.75,0.6,max-position,10,0.18608096229470278,0.008905745741048571,0.1802591371732593,0.19071781748785566,0.7852408210855473,0.13414187917935735,-0.012028517689650497
fake_violations,0.75,0.6,none,10,0.18608096229470278,0.008905745741048571,0.1802591371732593,0.19071781748785566,0.7852408210855473,0.13530489119495462,-0.012457361531357503
fake_violations,0.75,0.85,max-position,10,0.18621156920399093,0.008807459648558008,0.18065992570540684,0.1908927145880977,0.7862359421972908,0.13621262266107653,-0.011166356318090487
fake_violations,0.75,0.85,none,10,0.18621156920399093,0.008807459648558008,0.18065992570540684,0.1908927145880977,0.7862359421972908,0.13724314062783433,-0.011755751986989749
fake_violations,0.75,1.0,max-position,10,0.18632916666666668,0.00896935046060668,0.180875,0.19120416666666668,0.7868055555555556,0.13720948524298238,-0.010633306490490957
fake_violations,0.75,1.0,none,10,0.18632916666666668,0.00896935046060668,0.180875,0.19120416666666668,0.7868055555555556,0.13823728533892424,-0.011210997560945225
loss_streak,0.0,0.6,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.23048642413149462,-0.020164089811202345
loss_streak,0.0,0.6,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
loss_streak,0.0,0.85,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2303079836161018,-0.02033926765328411
loss_streak,0.0,0.85,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
loss_streak,0.0,1.0,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2302920879678033,-0.02036420985681172
loss_streak,0.0,1.0,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
loss_streak,1.0,0.6,max-position,10,0.3075,0.015011890863044237,0.2985833333333333,0.3161666666666667,0.0008333333333333333,0.1988458836855896,-0.015958868091678135
loss_streak,1.0,0.6,none,10,0.3077708333333334,0.014762801125392888,0.29893749999999997,0.3163125,0.0,0.23803169948643593,-0.01792551085013625
