kind,dose,decay,risk,seed,memory_driven_leverage_amplification,max_memory_driven_leverage_amplification,memory_pollution_ratio,total_return,max_drawdown
missing_equity,0.1,0.85,max-position,3,0.46950000000000003,1.08,0.0,0.260920410483946,-0.018211716103278874
missing_equity,0.1,0.85,max-position,4,0.48283333333333334,1.08,0.0,0.24028809615696844,-0.01272159971382425
missing_equity,0.1,0.85,max-position,5,0.5191666666666667,1.08,0.0,0.2603792274472121,-0.01769795712578537
missing_equity,0.1,0.85,max-position,6,0.48333333333333334,1.08,0.0,0.23182859894868124,-0.025071824985390512
missing_equity,0.1,0.85,max-position,7,0.48550000000000004,1.08,0.0,0.22899675331975122,-0.019746962112851096
missing_equity,0.1,0.85,max-position,8,0.5118333333333334,1.08,0.0,0.22487385035892338,-0.02041662445386061
missing_equity,0.1,0.85,max-position,9,0.4895,1.08,0.0,0.3021476715768088,-0.011401579459775157
missing_equity,0.1,0.85,max-position,10,0.44554166666666667,1.08,0.008333333333333333,0.16610998275401356,-0.028249730921315552
missing_equity,0.25,0.85,max-position,1,0.4704240042794315,1.068739646196963,0.2065921119146995,0.1719123777254965,-0.022474529738572446
missing_equity,0.25,0.85,max-position,2,0.4129736111087705,1.068739646196963,0.1907086193979409,0.20931510317573943,-0.026229751276598545
missing_equity,0.25,0.85,max-position,3,0.4399702647483938,1.068739646196963,0.1879606272232099,0.2567063426841327,-0.01686740549943011
missing_equity,0.25,0.85,max-position,4,0.44897425866910695,1.068739646196963,0.1933417150989416,0.237087326494676,-0.012007233521382665
missing_equity,0.25,0.85,max-position,5,0.4808475896318442,1.068739646196963,0.20007261032094562,0.25498816058225104,-0.017260576327057353
missing_equity,0.25,0.85,max-position,6,0.4549879577090155,1.068739646196963,0.19640474528362162,0.22336043413527085,-0.02837905941732788
missing_equity,0.25,0.85,max-position,7,0.45361583535704714,1.068739646196963,0.19419009526798434,0.22373861019607544,-0.01830610773682051
missing_equity,0.25,0.85,max-position,8,0.4744390311621033,1.068739646196963,0.19871011094713875,0.21399403286394492,-0.01865941718606834
missing_equity,0.25,0.85,max-position,9,0.45919322380280686,1.068739646196963,0.19713955273649733,0.2968593117648275,-0.012188978800450334
missing_equity,0.25,0.85,max-position,10,0.4097760510672457,1.068739646196963,0.1977416318546089,0.15976548532885038,-0.026071136862543254
missing_equity,0.5,0.85,max-position,1,0.42905298591180596,1.0531543814176727,0.4050261668848459,0.17318434001190597,-0.018868131438226743
missing_equity,0.5,0.85,max-position,2,0.376522147658924,1.0531543814176727,0.3926938918826352,0.20355032615634427,-0.018132770563301426
missing_equity,0.5,0.85,max-position,3,0.4025466431629369,1.0554921711345662,0.38584553503162383,0.23993528447542434,-0.015216249970573137
missing_equity,0.5,0.85,max-position,4,0.40643644667872186,1.0531543814176727,0.39674356733260674,0.23340492541653712,-0.009682719971869425
missing_equity,0.5,0.85,max-position,5,0.44186150410388375,1.0531543814176727,0.40507435057638425,0.24492502677063666,-0.022223170283901195
missing_equity,0.5,0.85,max-position,6,0.4118870728362834,1.0554921711345662,0.39924578119699183,0.21070149523308435,-0.02196023786244805
missing_equity,0.5,0.85,max-position,7,0.4184870532872921,1.0531543814176727,0.39525893477957097,0.21375257609648446,-0.017580534074350673
missing_equity,0.5,0.85,max-position,8,0.4317471844958523,1.0531543814176727,0.39352115053260656,0.20640778307159624,-0.017685858982426805
missing_equity,0.5,0.85,max-position,9,0.42328320589975077,1.0554921711345662,0.3985328465194543,0.28719269904511147,-0.010568535372344479
missing_equity,0.5,0.85,max-position,10,0.3750232132334313,1.0554921711345662,0.39474581973337536,0.15876035826906643,-0.022342783898497642
missing_equity,0.75,0.85,max-position,1,0.2996614141392012,1.0,0.7830346209594536,0.14272835062645894,-0.021995349894982752
missing_equity,0.75,0.85,max-position,2,0.25615471973319,0.6348206295786349,0.7883363365973209,0.18228299609188903,-0.018194837473124892
missing_equity,0.75,0.85,max-position,3,0.2763161091552757,1.0,0.7807984667453614,0.2150595801455657,-0.012705255017690265
missing_equity,0.75,0.85,max-position,4,0.285324391776391,1.0,0.789197303756977,0.20758791140645738,-0.010255725657442705
missing_equity,0.75,0.85,max-position,5,0.30029953352062166,0.6348206295786349,0.79021561645319,0.23628518322999237,-0.009545911346821256
missing_equity,0.75,0.85,max-position,6,0.2833652057727946,1.0,0.7892337644442561,0.18630241399381986,-0.016357856728627773
missing_equity,0.75,0.85,max-position,7,0.2832499271125971,0.6348206295786349,0.7855844822879173,0.17700602464026516,-0.013644124016794157
missing_equity,0.75,0.85,max-position,8,0.2981000964529254,1.0,0.7888333999981987,0.19674294149291605,-0.013218673905387002
missing_equity,0.75,0.85,max-position,9,0.2830386308852716,1.0,0.7900294270724567,0.24632960267785808,-0.009207944741773555
