kind,decay,risk,dose,outcome,paired_n,mean_delta_vs_dose0,delta_ci_low,delta_ci_high,permutation_p_value,q_value,cohens_d
fake_rejections,0.85,none,0.5,total_return,10,-0.036550002511719026,-0.047448145979446466,-0.02389543761762116,0.001953125,0.002999680034129693,-1.7938488059131659
fake_rejections,0.85,none,0.5,max_drawdown,10,0.004772926178848447,0.0008350621671719738,0.007884384834020586,0.041015625,0.05559346762048193,0.784763635234645
fake_rejections,0.85,none,0.75,memory_driven_leverage_amplification,10,-0.2988217641293424,-0.30901713181890444,-0.2893613531082896,0.001953125,0.002999680034129693,-17.7846892545776
fake_rejections,0.85,none,0.75,max_memory_driven_leverage_amplification,10,-0.25620997723216626,-0.43241995446433246,-0.08000000000000007,0.001953125,0.002999680034129693,-0.9030221535831355
fake_rejections,0.85,none,0.75,memory_pollution_ratio,10,0.7862359421972908,0.7833363189388847,0.7887362018158811,0.001953125,0.002999680034129693,174.3984175540851
fake_rejections,0.85,none,0.75,total_return,10,-0.1794763550740585,-0.1964495872023583,-0.16320851331194852,0.001953125,0.002999680034129693,-6.352500274616044
fake_rejections,0.85,none,0.75,max_drawdown,10,0.014504855460531286,0.010773484021434587,0.018426547266104022,0.001953125,0.002999680034129693,2.2484036872290543
fake_rejections,1.0,max-position,0.1,memory_driven_leverage_amplification,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,1.0,max-position,0.1,max_memory_driven_leverage_amplification,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,1.0,max-position,0.1,memory_pollution_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,1.0,max-position,0.1,total_return,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,1.0,max-position,0.1,max_drawdown,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,1.0,max-position,0.25,memory_driven_leverage_amplification,10,-0.0608625,-0.06324166666666667,-0.05820833333333332,0.001953125,0.002999680034129693,-14.389903121388947
fake_rejections,1.0,max-position,0.25,max_memory_driven_leverage_amplification,10,-0.11000000000000003,-0.13999999999999999,-0.08000000000000007,0.001953125,0.002999680034129693,-2.2772163458297725
fake_rejections,1.0,max-position,0.25,memory_pollution_ratio,10,0.1965277777777778,0.1965277777777778,0.1965277777777778,0.001953125,0.002999680034129693,
fake_rejections,1.0,max-position,0.25,total_return,10,-0.008244270555868427,-0.01094315330143374,-0.005609371819215436,0.001953125,0.002999680034129693,-1.825011991945418
fake_rejections,1.0,max-position,0.25,max_drawdown,10,0.0015426830785247093,0.0008917683072014349,0.002099166615698289,0.0078125,0.01102076802507837,1.5214750729797994
fake_rejections,1.0,max-position,0.5,memory_driven_leverage_amplification,10,-0.10731666666666664,-0.11111666666666664,-0.10323333333333329,0.001953125,0.002999680034129693,-16.344008355058953
fake_rejections,1.0,max-position,0.5,max_memory_driven_leverage_amplification,10,-0.14000000000000004,-0.19999999999999998,-0.08000000000000007,0.001953125,0.002999680034129693,-1.4491376746189453
fake_rejections,1.0,max-position,0.5,memory_pollution_ratio,10,0.39688888888888896,0.39622222222222225,0.39722222222222225,0.001953125,0.002999680034129693,376.5218600707064
fake_rejections,1.0,max-position,0.5,total_return,10,-0.016953946506028418,-0.021059475547102614,-0.01287973235948614,0.001953125,0.002999680034129693,-2.427494769887646
fake_rejections,1.0,max-position,0.5,max_drawdown,10,0.002697674829464691,0.0019243339198732,0.0035654218619355802,0.001953125,0.002999680034129693,1.9436491002653893
fake_rejections,1.0,max-position,0.75,memory_driven_leverage_amplification,10,-0.29749166666666665,-0.3077583333333333,-0.2866666666666667,0.001953125,0.002999680034129693,-16.818739481186086
fake_rejections,1.0,max-position,0.75,max_memory_driven_leverage_amplification,10,-0.263,-0.446,-0.08000000000000007,0.001953125,0.002999680034129693,-0.8925602070837995
