scenario,level,agent,seed,total_return,sharpe,max_drawdown,execution_fill_rate,total_slippage_cost
calm,E1_default_stress,mean-reversion,2,-0.18273697262652921,-4.613345627122145,-0.18683414999661907,0.92,3443.513759337595
calm,E1_default_stress,mean-reversion,3,-0.25069662105486457,-7.781900211599701,-0.26378430353453064,0.96,3411.417263705496
calm,E1_default_stress,mean-reversion,4,-0.2358127243845366,-5.732036959034091,-0.25064378582001523,0.9312977099236641,3690.349061534479
calm,E1_default_stress,mean-reversion,5,-0.22803712989640657,-7.599186458982023,-0.24443035658014023,0.9310344827586207,2410.1423815563858
calm,E1_default_stress,mean-reversion,6,-0.2659459147535369,-6.818135142380885,-0.27400098779211157,0.9122807017543859,3354.6721599333164
calm,E1_default_stress,mean-reversion,7,-0.1952311899205993,-5.517540374221971,-0.2151244404042808,0.9274193548387096,2872.3831558140464
calm,E1_default_stress,mean-reversion,8,-0.21913678737606368,-6.05752769869377,-0.2431386886988377,0.9112903225806451,4575.685091638445
calm,E1_default_stress,mean-reversion,9,-0.23076171588958738,-6.549977555079693,-0.2412498357550349,0.9338842975206612,2794.4760892208706
calm,E1_default_stress,mean-reversion,10,-0.1889767034193871,-4.867494048848882,-0.21428883463887094,0.9274193548387096,3350.4588003592103
calm,E1_default_stress,risk-parity,1,0.10736343805868942,1.7772170475987004,-0.1997346160018454,0.9916317991631799,5510.981683831198
calm,E1_default_stress,risk-parity,2,0.0838998813068148,1.217275246881653,-0.205405143970674,0.9873949579831933,6199.231358237185
calm,E1_default_stress,risk-parity,3,0.02546199572577179,0.45717385595400867,-0.21804138659352645,0.9833333333333333,6713.9467180195925
calm,E1_default_stress,risk-parity,4,0.0936403933459562,1.4210161751549506,-0.2168456446747743,0.9873949579831933,7254.938061876259
calm,E1_default_stress,risk-parity,5,0.1603327807922017,2.4602995989228242,-0.18481729939730862,0.9873417721518988,4727.429614148024
calm,E1_default_stress,risk-parity,6,0.04520000577723993,0.7350006251512466,-0.2142587210574607,0.9874476987447699,5686.50962131242
calm,E1_default_stress,risk-parity,7,0.07625460441700382,1.3068517398061348,-0.1842864370254591,0.9833333333333333,4929.650837660524
calm,E1_default_stress,risk-parity,8,0.05277823406383075,0.8635297789049855,-0.2334823262221667,0.9873949579831933,5365.224885561633
calm,E1_default_stress,risk-parity,9,0.1753879793956219,2.5968519296828507,-0.22445452171651847,0.9874476987447699,6175.369503511972
calm,E1_default_stress,risk-parity,10,0.045742706629227525,0.7526819368495128,-0.20094906142858127,0.9875,5848.631403218439
calm,E1_default_stress,minimum-variance,1,0.15004874611535013,2.36317222634038,-0.1907171932889623,0.9916666666666667,5903.901432094401
calm,E1_default_stress,minimum-variance,2,0.07987644083669232,1.148669549051565,-0.20782500769635148,0.9874476987447699,6067.149707946724
calm,E1_default_stress,minimum-variance,3,0.06916210491873986,1.0956587339109445,-0.19653365174644188,0.9874476987447699,5689.66412992921
calm,E1_default_stress,minimum-variance,4,0.10855058316797939,1.6365073643538948,-0.21437254832162866,0.9830508474576272,5832.587489432879
calm,E1_default_stress,minimum-variance,5,0.1658455004469972,2.5230309262845894,-0.17745903657922346,0.9833333333333333,5636.7603491511
calm,E1_default_stress,minimum-variance,6,0.05887173848283456,0.9860268487953534,-0.21013910759392074,0.9875,6156.663771039161
calm,E1_default_stress,minimum-variance,7,0.08565771342902151,1.4278057530820971,-0.18536004510840298,0.9875,5007.249800280005
calm,E1_default_stress,minimum-variance,8,0.047223495996196796,0.7824597620590887,-0.23292586161350992,0.9873949579831933,5265.465527834501
calm,E1_default_stress,minimum-variance,9,0.15797642837186898,2.4077254860357926,-0.20717169810890035,0.9873949579831933,5888.908394191931
calm,E1_default_stress,minimum-variance,10,0.05142946687476102,0.8022003515765967,-0.21036011276197897,0.9873417721518988,6756.311005225711
calm,E1_default_stress,random,1,0.05125196228181683,1.0106482416441824,-0.17066815668337676,0.8596491228070176,7903.437094952885
calm,E1_default_stress,random,2,0.05426051486561656,0.9215255441250777,-0.1725072510761848,0.9074889867841409,7940.8869328352175
calm,E1_default_stress,random,3,-0.005259991366819872,-0.024106861885206877,-0.19150715633711368,0.8995633187772926,8470.816879424701
calm,E1_default_stress,random,4,0.020811165026997536,0.4296730471880433,-0.17565193398827872,0.8678414096916299,8176.594786843558
calm,E1_default_stress,random,5,0.07677161872199645,1.4757380314651403,-0.1630288180656677,0.9181034482758621,8030.360476401808
calm,E1_default_stress,random,6,0.02841590506426428,0.5770945427115903,-0.15907788978485182,0.8977777777777778,8597.878577240528
calm,E1_default_stress,random,7,0.0011520384929797345,0.07794203697197954,-0.16955907145412996,0.8908296943231441,7398.121322769941
calm,E1_default_stress,random,8,-0.009002955360388865,-0.12861428914981615,-0.18374425111797188,0.9008620689655172,7914.191598700484
