timestamp,symbol,bid,ask,bid_qty,ask_qty,transaction_time,event_time,update_id
2024-03-01T00:08:08.090000Z,BTCUSDT,61382.70000000,61382.80000000,2.65400000,1.51200000,2024-03-01T00:08:08.090000Z,2024-03-01T00:08:08.096000Z,4070968158224
2024-03-01T00:08:09.101000Z,BTCUSDT,61382.70000000,61382.80000000,4.56100000,0.09700000,2024-03-01T00:08:09.101000Z,2024-03-01T00:08:09.105000Z,4070968234177
2024-03-01T00:08:10.103000Z,BTCUSDT,61382.70000000,61382.80000000,4.46800000,1.19100000,2024-03-01T00:08:10.103000Z,2024-03-01T00:08:10.108000Z,4070968302892
2024-03-01T00:08:11.143000Z,BTCUSDT,61383.30000000,61383.40000000,3.98800000,1.46200000,2024-03-01T00:08:11.143000Z,2024-03-01T00:08:11.149000Z,4070968365236
2024-03-01T00:08:12.149000Z,BTCUSDT,61383.30000000,61383.40000000,3.68600000,12.92900000,2024-03-01T00:08:12.149000Z,2024-03-01T00:08:12.157000Z,4070968421463
2024-03-01T00:08:13.218000Z,BTCUSDT,61383.30000000,61383.40000000,5.07600000,11.36100000,2024-03-01T00:08:13.218000Z,2024-03-01T00:08:13.226000Z,4070968497659
2024-03-01T00:08:14.230000Z,BTCUSDT,61383.30000000,61383.40000000,5.34800000,11.39100000,2024-03-01T00:08:14.230000Z,2024-03-01T00:08:14.235000Z,4070968549297
2024-03-01T00:08:15.231000Z,BTCUSDT,61383.30000000,61383.40000000,8.13300000,11.48500000,2024-03-01T00:08:15.231000Z,2024-03-01T00:08:15.235000Z,4070968604095
2024-03-01T00:08:16.253000Z,BTCUSDT,61383.30000000,61383.40000000,3.25000000,12.97700000,2024-03-01T00:08:16.253000Z,2024-03-01T00:08:16.260000Z,4070968670858
2024-03-01T00:08:17.256000Z,BTCUSDT,61383.30000000,61383.40000000,4.52200000,11.08500000,2024-03-01T00:08:17.256000Z,2024-03-01T00:08:17.260000Z,4070968749734
2024-03-01T00:08:18.290000Z,BTCUSDT,61383.30000000,61383.40000000,3.60100000,11.68400000,2024-03-01T00:08:18.290000Z,2024-03-01T00:08:18.295000Z,4070968811006
2024-03-01T00:08:19.316000Z,BTCUSDT,61383.30000000,61383.40000000,3.43300000,12.19900000,2024-03-01T00:08:19.316000Z,2024-03-01T00:08:19.320000Z,4070968919406
2024-03-01T00:08:20.384000Z,BTCUSDT,61383.30000000,61383.40000000,4.52000000,10.37300000,2024-03-01T00:08:20.384000Z,2024-03-01T00:08:20.390000Z,4070968992720
2024-03-01T00:08:21.437000Z,BTCUSDT,61383.30000000,61383.40000000,4.15900000,10.63700000,2024-03-01T00:08:21.437000Z,2024-03-01T00:08:21.444000Z,4070969047521
2024-03-01T00:08:22.439000Z,BTCUSDT,61383.30000000,61383.40000000,4.14600000,10.64800000,2024-03-01T00:08:22.439000Z,2024-03-01T00:08:22.444000Z,4070969110448
2024-03-01T00:08:23.453000Z,BTCUSDT,61383.30000000,61383.40000000,3.22700000,10.82800000,2024-03-01T00:08:23.453000Z,2024-03-01T00:08:23.458000Z,4070969158795
2024-03-01T00:08:24.456000Z,BTCUSDT,61383.30000000,61383.40000000,3.12200000,10.80200000,2024-03-01T00:08:24.456000Z,2024-03-01T00:08:24.460000Z,4070969219635
2024-03-01T00:08:25.507000Z,BTCUSDT,61383.30000000,61383.40000000,8.23000000,10.69900000,2024-03-01T00:08:25.507000Z,2024-03-01T00:08:25.514000Z,4070969290263
2024-03-01T00:08:26.568000Z,BTCUSDT,61383.30000000,61383.40000000,7.35500000,10.73100000,2024-03-01T00:08:26.568000Z,2024-03-01T00:08:26.573000Z,4070969342837
2024-03-01T00:08:27.633000Z,BTCUSDT,61383.30000000,61383.40000000,3.42700000,12.50800000,2024-03-01T00:08:27.633000Z,2024-03-01T00:08:27.638000Z,4070969393952
2024-03-01T00:08:28.640000Z,BTCUSDT,61383.30000000,61383.40000000,3.51400000,13.00500000,2024-03-01T00:08:28.640000Z,2024-03-01T00:08:28.646000Z,4070969438820
2024-03-01T00:08:29.640000Z,BTCUSDT,61383.30000000,61383.40000000,5.69600000,11.23700000,2024-03-01T00:08:29.640000Z,2024-03-01T00:08:29.645000Z,4070969489848
2024-03-01T00:08:30.655000Z,BTCUSDT,61383.30000000,61383.40000000,5.53200000,11.22300000,2024-03-01T00:08:30.655000Z,2024-03-01T00:08:30.661000Z,4070969545709
2024-03-01T00:08:31.656000Z,BTCUSDT,61390.80000000,61392.70000000,0.90500000,0.00900000,2024-03-01T00:08:31.656000Z,2024-03-01T00:08:31.668000Z,4070969603124
2024-03-01T00:08:32.699000Z,BTCUSDT,61399.90000000,61400.00000000,15.08100000,2.75100000,2024-03-01T00:08:32.699000Z,2024-03-01T00:08:32.704000Z,4070969736205
2024-03-01T00:08:33.702000Z,BTCUSDT,61399.90000000,61400.00000000,15.79500000,0.89000000,2024-03-01T00:08:33.702000Z,2024-03-01T00:08:33.707000Z,4070969813268
2024-03-01T00:08:34.749000Z,BTCUSDT,61404.50000000,61404.60000000,6.94900000,5.90700000,2024-03-01T00:08:34.749000Z,2024-03-01T00:08:34.753000Z,4070969895091
2024-03-01T00:08:35.750000Z,BTCUSDT,61392.20000000,61392.30000000,0.38300000,10.54200000,2024-03-01T00:08:35.750000Z,2024-03-01T00:08:35.755000Z,4070970003633
2024-03-01T00:08:36.838000Z,BTCUSDT,61385.60000000,61385.70000000,1.35000000,9.53100000,2024-03-01T00:08:36.838000Z,2024-03-01T00:08:36.846000Z,4070970117729
2024-03-01T00:08:37.851000Z,BTCUSDT,61383.30000000,61383.40000000,0.98900000,10.98200000,2024-03-01T00:08:37.851000Z,2024-03-01T00:08:37.857000Z,4070970191798
2024-03-01T00:08:38.867000Z,BTCUSDT,61383.30000000,61383.40000000,2.03000000,9.96700000,2024-03-01T00:08:38.867000Z,2024-03-01T00:08:38.875000Z,4070970255367
2024-03-01T00:08:39.871000Z,BTCUSDT,61383.30000000,61383.40000000,3.75300000,9.57700000,2024-03-01T00:08:39.871000Z,2024-03-01T00:08:39.877000Z,4070970314643
2024-03-01T00:08:40.927000Z,BTCUSDT,61381.90000000,61382.00000000,4.43900000,9.81400000,2024-03-01T00:08:40.927000Z,2024-03-01T00:08:40.933000Z,4070970412332
2024-03-01T00:08:41.955000Z,BTCUSDT,61381.90000000,61382.00000000,4.51700000,8.28300000,2024-03-01T00:08:41.955000Z,2024-03-01T00:08:41.960000Z,4070970464860
2024-03-01T00:08:42.979000Z,BTCUSDT,61381.90000000,61382.00000000,4.02600000,8.32500000,2024-03-01T00:08:42.979000Z,2024-03-01T00:08:42.985000Z,4070970514289
2024-03-01T00:08:44.108000Z,BTCUSDT,61381.90000000,61382.00000000,3.64700000,8.91700000,2024-03-01T00:08:44.108000Z,2024-03-01T00:08:44.117000Z,4070970577746
2024-03-01T00:08:45.115000Z,BTCUSDT,61373.70000000,61373.80000000,1.21300000,5.71800000,2024-03-01T00:08:45.115000Z,2024-03-01T00:08:45.120000Z,4070970657570
2024-03-01T00:08:46.127000Z,BTCUSDT,61373.70000000,61373.80000000,5.98900000,0.51700000,2024-03-01T00:08:46.127000Z,2024-03-01T00:08:46.133000Z,4070970745017
2024-03-01T00:08:47.136000Z,BTCUSDT,61374.80000000,61374.90000000,9.65200000,1.53000000,2024-03-01T00:08:47.136000Z,2024-03-01T00:08:47.140000Z,4070970835707
2024-03-01T00:08:48.199000Z,BTCUSDT,61374.80000000,61374.90000000,9.06100000,0.32600000,2024-03-01T00:08:48.199000Z,2024-03-01T00:08:48.206000Z,4070970905997
