metric,estimand,estimate,ci95_low,ci95_high,seed_clusters,base_pairs,bootstrap_draws,cluster_se,t9_ci_low,t9_ci_high,leave_one_seed_low,leave_one_seed_high
sharpe,response_origin_within_X0,0.07961734205811118,-0.30520967582691094,0.47897730160084456,10,450,10000,0.213578295445694,-0.4035303288145346,0.562765012930757,-0.05144526493495051,0.21468223329091365
sharpe,response_origin_within_X1,1.5470407808457312,1.1072644029321443,2.0631835701643757,10,450,10000,0.2584523366448613,0.9623809762481792,2.131700585443283,1.3595098100677678,1.6786049863283086
sharpe,interaction,1.46742343878762,1.1167977541523182,1.8250423722709965,10,450,10000,0.19164883478849543,1.033883654418183,1.9009632231570568,1.3637317554440371,1.5624531547589753
sharpe,execution_shapley,-2.6606603146595966,-3.126875773770943,-2.2312027243079777,10,450,10000,0.24261354220360004,-3.2094902769608757,-2.1118303523583175,-2.794915845104779,-2.502426945615846
sharpe,response_origin_shapley,0.8133290614519212,0.44093319489789273,1.238618366211633,10,450,10000,0.21685094035394786,0.32277815345859096,1.3038799694452514,0.6776439323457495,0.8999287254582075
sharpe,observed_diagonal,-1.8473312532076755,-2.4075530673846894,-1.1904882395479863,10,450,10000,0.33057029412029837,-2.5951332118786947,-1.0995292945366564,-2.11727191275903,-1.685748271912395
max_drawdown,execution_within_I0,-0.005009778855815556,-0.0070128262927478344,-0.003124313126044667,10,450,10000,0.001053554277313714,-0.007393084210696349,-0.0026264735009347636,-0.005599569761832099,-0.004304820422812346
max_drawdown,execution_within_I1,-0.003474830927022222,-0.006190960476807499,-0.0013319033751222223,10,450,10000,0.0013304391151031485,-0.006484493300994079,-0.00046516855305036523,-0.003937239136953086,-0.0023801799477580245
max_drawdown,response_origin_within_X0,0.00043528654332222223,-0.0006159470049457224,0.0018690037634478329,10,450,10000,0.0006976667685320252,-0.0011429453343977714,0.002013518421042216,-0.00020878559310864197,0.0006848988924320988
max_drawdown,response_origin_within_X1,0.001970234472115556,0.00038937989511505545,0.0032737098926767226,10,450,10000,0.0007863904742294778,0.00019129562803711056,0.0037491733161940013,0.0017075180575530865,0.0026249820764864197
max_drawdown,interaction,0.0015349479287933335,-0.00041396901653911094,0.003270335389909444,10,450,10000,0.0010004418759075844,-0.0007282088268102008,0.003798104684396868,0.0010342454719160495,0.0022179034839777782
max_drawdown,execution_shapley,-0.004242304891418889,-0.006459185988261693,-0.0024556810043785005,10,450,10000,0.0010907801980022667,-0.006709821129429129,-0.0017747886534086486,-0.004715471933914815,-0.003342500185285185
max_drawdown,response_origin_shapley,0.0012027605077188888,0.00026560924624897226,0.0022905753325977774,10,450,10000,0.0005498667676528735,-4.1124539342489745e-05,0.0024466455547802676,0.0007535346444185185,0.0015160303344975308
max_drawdown,observed_diagonal,-0.0030395443837,-0.004715577369126278,-0.001373463460862167,10,450,10000,0.0009114168002861835,-0.005101312426812954,-0.000977776340587046,-0.003499669092446914,-0.002588965540866667
execution_fill_rate,execution_within_I0,-0.06818191230758222,-0.07177429845467911,-0.06419396080466673,10,450,10000,0.002045473257797706,-0.07280909428913582,-0.06355473032602862,-0.06968278600817777,-0.06716193119012098
execution_fill_rate,execution_within_I1,-0.049582243878322226,-0.05193523717581378,-0.04725607130324067,10,450,10000,0.0012826954595351518,-0.0524839025998701,-0.046680585156774354,-0.050244673289350616,-0.04889246829963951
execution_fill_rate,response_origin_within_X0,-0.0022222222222222222,-0.006666666666666666,0.0,10,450,10000,0.0022222222222222222,-0.007249238139675776,0.002804793695231332,-0.0024691358024691358,0.0
execution_fill_rate,response_origin_within_X1,0.016377446207037776,0.009780305344462944,0.021873420791906722,10,450,10000,0.003271607633138065,0.008976555565686356,0.023778336848389196,0.015256548222069134,0.018922212414441975
execution_fill_rate,interaction,0.01859966842926,0.014673815073475554,0.022307461661858995,10,450,10000,0.002081253487021218,0.01389154594587988,0.023307790912640118,0.01772568402453827,0.019817410698387654
execution_fill_rate,execution_shapley,-0.05888207809295222,-0.061317480073323834,-0.056345034087466606,10,450,10000,0.001353414284625862,-0.06194371391122767,-0.05582044227467677,-0.05977408065898395,-0.05813983460305185
execution_fill_rate,response_origin_shapley,0.007077611992407777,0.0016636928403837205,0.010936392209887805,10,450,10000,0.0025957542325426857,0.0012056079622524947,0.01294961602256306,0.006393706209799999,0.009461106207220987
execution_fill_rate,observed_diagonal,-0.05180446610054445,-0.05781751312433478,-0.04738742472497284,10,450,10000,0.0029182431106316103,-0.05840599065620937,-0.04520294154487953,-0.052713809091819754,-0.04914741706699506
total_slippage_cost,execution_within_I0,1441.3154546798933,1367.9273541590508,1522.946579237207,10,450,10000,41.534622252382455,1347.3576114452271,1535.2732979145594,1414.6752973882608,1456.8351734868927
total_slippage_cost,execution_within_I1,943.380314850435,861.7001934600725,1034.9638439347207,10,450,10000,47.4251447037553,836.0971840594427,1050.6634456414272,916.8822600722182,965.1151081790088
total_slippage_cost,response_origin_within_X0,19.712527242647024,17.159897111613066,22.048338036224177,10,450,10000,1.3103940677567014,16.748209916109683,22.676844569184365,18.965569862063898,20.553222625827065
total_slippage_cost,response_origin_within_X1,-478.2226125868111,-530.3266309931149,-416.8866811498758,10,450,10000,31.13161426374957,-548.647216784763,-407.7980083888592,-498.5163711432269,-466.97323555790194
total_slippage_cost,interaction,-497.9351398294582,-551.2167923951226,-434.700949299699,10,450,10000,31.852773631443245,-569.9911198565977,-425.87915980231867,-519.069593769054,-487.19832233946244
total_slippage_cost,execution_shapley,1192.347884765164,1119.6492036750776,1273.7152376158135,10,450,10000,41.63513901629398,1098.1626568130284,1286.5331127172997,1165.7787787302395,1210.9751408329507
total_slippage_cost,response_origin_shapley,-229.25504267208206,-254.85598986243178,-199.42852988181428,10,450,10000,15.224896473732175,-263.6961512838474,-194.81393406031668,-238.98157425869994,-223.37407438817073
total_slippage_cost,observed_diagonal,963.092842093082,881.4951841575729,1055.0555245055152,10,450,10000,47.36530251658058,855.945083734448,1070.240600451716,936.4045033721263,984.5935070946045
rejected_order_count,execution_within_I0,1.1177777777777778,0.9666666666666666,1.2666666666666666,10,450,10000,0.08235558087318805,0.9314765106044853,1.3040790449510702,1.0765432098765433,1.1703703703703703
rejected_order_count,execution_within_I1,0.5933333333333334,0.47111111111111115,0.7377777777777778,10,450,10000,0.0719739321808962,0.43051698711154385,0.7561496795551229,0.5382716049382716,0.6222222222222222
rejected_order_count,response_origin_within_X0,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
rejected_order_count,response_origin_within_X1,-0.5244444444444444,-0.6088888888888888,-0.44000000000000006,10,450,10000,0.0456863524299534,-0.6277941538385402,-0.4210947350503485,-0.5481481481481482,-0.4962962962962963
rejected_order_count,interaction,-0.5244444444444444,-0.6088888888888888,-0.44000000000000006,10,450,10000,0.0456863524299534,-0.6277941538385402,-0.4210947350503485,-0.5481481481481482,-0.4962962962962963
rejected_order_count,execution_shapley,0.8555555555555555,0.7244444444444444,0.9966666666666667,10,450,10000,0.0738886568268889,0.6884078012609404,1.0227033098501708,0.8074074074074074,0.8962962962962963
rejected_order_count,response_origin_shapley,-0.2622222222222222,-0.3044444444444444,-0.22000000000000003,10,450,10000,0.0228431762149767,-0.3138970769192701,-0.21054736752517425,-0.2740740740740741,-0.24814814814814815
rejected_order_count,observed_diagonal,0.5933333333333334,0.47111111111111115,0.7377777777777778,10,450,10000,0.0719739321808962,0.43051698711154385,0.7561496795551229,0.5382716049382716,0.6222222222222222
risk_clipped_decisions,execution_within_I0,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
risk_clipped_decisions,execution_within_I1,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
risk_clipped_decisions,response_origin_within_X0,1.3866666666666667,0.6199444444444445,2.21561111111111,10,450,10000,0.4279686923667321,0.41853422375196125,2.3547991095813723,1.1135802469135803,1.5530864197530865
risk_clipped_decisions,response_origin_within_X1,1.3866666666666667,0.6199444444444445,2.21561111111111,10,450,10000,0.4279686923667321,0.41853422375196125,2.3547991095813723,1.1135802469135803,1.5530864197530865
risk_clipped_decisions,interaction,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
risk_clipped_decisions,execution_shapley,0.0,0.0,0.0,10,450,10000,0.0,0.0,0.0,0.0,0.0
risk_clipped_decisions,response_origin_shapley,1.3866666666666667,0.6199444444444445,2.21561111111111,10,450,10000,0.4279686923667321,0.41853422375196125,2.3547991095813723,1.1135802469135803,1.5530864197530865
risk_clipped_decisions,observed_diagonal,1.3866666666666667,0.6199444444444445,2.21561111111111,10,450,10000,0.4279686923667321,0.41853422375196125,2.3547991095813723,1.1135802469135803,1.5530864197530865
