model_id,scenario_id,metric,estimand,estimate,base_pairs,seed_clusters
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,total_return,response_origin_within_X0,-0.00016865272066666665,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,total_return,response_origin_within_X1,-0.0014030561260666666,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,total_return,interaction,-0.0012344034053999998,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,total_return,execution_shapley,0.0006172017026999999,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,total_return,response_origin_shapley,-0.0007858544233666667,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,total_return,observed_diagonal,-0.00016865272066666665,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,sharpe,execution_within_I0,-0.00580346270296667,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,sharpe,execution_within_I1,0.0,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_within_X0,-0.10566418373903333,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_within_X1,-0.09986072103606666,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,sharpe,interaction,0.00580346270296667,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,sharpe,execution_shapley,-0.002901731351483335,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,sharpe,response_origin_shapley,-0.10276245238755001,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,sharpe,observed_diagonal,-0.10566418373903333,30,10
glm-5,synthetic_calm_trend_c0_v0_3,total_return,execution_within_I0,-0.019526539955999997,30,10
glm-5,synthetic_calm_trend_c0_v0_3,total_return,execution_within_I1,-0.013089761879166667,30,10
glm-5,synthetic_calm_trend_c0_v0_3,total_return,response_origin_within_X0,-0.011733992755399998,30,10
glm-5,synthetic_calm_trend_c0_v0_3,total_return,response_origin_within_X1,-0.005297214678566668,30,10
glm-5,synthetic_calm_trend_c0_v0_3,total_return,interaction,0.006436778076833326,30,10
glm-5,synthetic_calm_trend_c0_v0_3,total_return,execution_shapley,-0.016308150917583333,30,10
glm-5,synthetic_calm_trend_c0_v0_3,total_return,response_origin_shapley,-0.008515603716983332,30,10
glm-5,synthetic_calm_trend_c0_v0_3,total_return,observed_diagonal,-0.024823754634566663,30,10
glm-5,synthetic_calm_trend_c0_v0_3,sharpe,execution_within_I0,-7.157872985034066,30,10
glm-5,synthetic_calm_trend_c0_v0_3,sharpe,execution_within_I1,-4.4932297156297665,30,10
glm-5,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_within_X0,-0.5113047089464999,30,10
glm-5,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_within_X1,2.1533385604578,30,10
