window,level,agent,seed,total_return,sharpe,execution_fill_rate,turnover_events
rates_drawdown_2022,E2_participation_1pct,random,10,0.08173819807309668,1.4002158832409308,0.877906976744186,302
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,1,0.26048626897359406,2.6820970608322723,0.6388888888888888,230
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,2,0.10877219055615384,1.4587424958829893,0.6361111111111111,229
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,3,0.004229803103429797,0.1373060839605036,0.664804469273743,238
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,4,0.15487577838211952,1.8090514933720938,0.6583333333333333,237
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,5,0.18808597673047456,2.17000648538603,0.6388888888888888,230
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,6,0.1367879000416905,1.814510993942066,0.6908077994428969,248
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,7,0.09988896055039631,1.173464222408721,0.6323119777158774,227
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,8,0.0701748021823334,0.8960041365204902,0.6583333333333333,237
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,9,0.2053649852906856,2.2887304576014236,0.6480446927374302,232
rates_drawdown_2022,E2_harsh_corner,buy-and-hold,10,0.05351192919533143,0.6868691473534376,0.6472222222222223,233
rates_drawdown_2022,E2_harsh_corner,signal-weighted,1,0.3106164003043095,4.630706832414916,0.5981735159817352,131
rates_drawdown_2022,E2_harsh_corner,signal-weighted,2,0.187393392872802,3.413811575809898,0.6030150753768844,120
rates_drawdown_2022,E2_harsh_corner,signal-weighted,3,0.19566459482352916,4.469282453728271,0.5666666666666667,119
rates_drawdown_2022,E2_harsh_corner,signal-weighted,4,0.30801625212682393,4.893451312899167,0.5774647887323944,123
rates_drawdown_2022,E2_harsh_corner,signal-weighted,5,0.40078427723991306,7.395068490560111,0.6372093023255814,137
rates_drawdown_2022,E2_harsh_corner,signal-weighted,6,0.26427077480089944,5.387161962133269,0.66,132
rates_drawdown_2022,E2_harsh_corner,signal-weighted,7,0.27882247257928916,5.409011430118237,0.6341463414634146,130
rates_drawdown_2022,E2_harsh_corner,signal-weighted,8,0.25191821846232476,4.1053815885270595,0.5781990521327014,122
rates_drawdown_2022,E2_harsh_corner,signal-weighted,9,0.19305121308144013,3.4969230221534855,0.5779816513761468,126
rates_drawdown_2022,E2_harsh_corner,signal-weighted,10,0.2959507807354316,5.462890292875196,0.59,118
rates_drawdown_2022,E2_harsh_corner,naive-momentum,1,0.3842574848754232,5.412585430960149,0.6348547717842323,153
rates_drawdown_2022,E2_harsh_corner,naive-momentum,2,0.28953274007719343,4.404037595609368,0.6610878661087866,158
rates_drawdown_2022,E2_harsh_corner,naive-momentum,3,0.4220900773202023,5.591855176796031,0.592274678111588,138
rates_drawdown_2022,E2_harsh_corner,naive-momentum,4,0.4223997817178178,5.960865732716283,0.5761316872427984,140
rates_drawdown_2022,E2_harsh_corner,naive-momentum,5,0.4568556767970553,5.557060466227959,0.5836575875486382,150
rates_drawdown_2022,E2_harsh_corner,naive-momentum,6,0.4530484014880414,5.936405515360483,0.6255506607929515,142
rates_drawdown_2022,E2_harsh_corner,naive-momentum,7,0.4925212261414831,5.988300413718471,0.636734693877551,156
rates_drawdown_2022,E2_harsh_corner,naive-momentum,8,0.4657527534413304,6.360309307880249,0.5720338983050848,135
rates_drawdown_2022,E2_harsh_corner,naive-momentum,9,0.3491897058083362,4.862756905154221,0.6040816326530613,148
rates_drawdown_2022,E2_harsh_corner,naive-momentum,10,0.5887683335869338,7.0330103560280435,0.659919028340081,163
rates_drawdown_2022,E2_harsh_corner,mean-reversion,1,-0.1809553030530816,-3.4142146965934868,0.5888888888888889,106
rates_drawdown_2022,E2_harsh_corner,mean-reversion,2,-0.25829080757622036,-5.680222065495417,0.5838150289017341,101
rates_drawdown_2022,E2_harsh_corner,mean-reversion,3,-0.25955919366854574,-5.7535782292746465,0.5919540229885057,103
rates_drawdown_2022,E2_harsh_corner,mean-reversion,4,-0.1898388867787114,-3.9576841661131015,0.63,126
rates_drawdown_2022,E2_harsh_corner,mean-reversion,5,-0.20810471906467998,-4.266214518669258,0.5660377358490566,90
rates_drawdown_2022,E2_harsh_corner,mean-reversion,6,-0.2663565953866881,-5.156147728144933,0.5808080808080808,115
rates_drawdown_2022,E2_harsh_corner,mean-reversion,7,-0.24986269040108466,-5.416297394687063,0.6052631578947368,115
rates_drawdown_2022,E2_harsh_corner,mean-reversion,8,-0.3239449320885147,-6.62982212095868,0.6538461538461539,119
rates_drawdown_2022,E2_harsh_corner,mean-reversion,9,-0.2660444503975141,-5.474147665247458,0.5852272727272727,103
rates_drawdown_2022,E2_harsh_corner,mean-reversion,10,-0.26727784908911456,-5.513111893734098,0.6179775280898876,110
rates_drawdown_2022,E2_harsh_corner,risk-parity,1,0.22068600385550052,2.6952508354755342,0.6333333333333333,228
rates_drawdown_2022,E2_harsh_corner,risk-parity,2,-0.03731426657450798,-0.3073687264615867,0.6277777777777778,226
